Sector,Exposure_INR_Cr,Maturity_Years,Interest_Rate,LGD,Carbon_Intensity,Transition_Readiness,Base_PD,Current_RWA,Current_Capital,Stressed_PD,Stressed_RWA,Stressed_Capital,Net_Income,Optimized_Retention,Strategy
Power (Thermal),105.89064720332892,6.631137210352174,0.1279449287463172,0.45,970.4516002811226,0.2321619330008215,0.06678592217095534,227.38852523217736,23.87579514937862,0.2758010582603144,301.8977903623235,31.699267988043967,0.4060326599848558,1.0,Hold
Power (Thermal),160.83658679279856,5.954785125366031,0.1105087421184815,0.45,932.048542512752,0.2981368400422021,0.04657595918557013,302.2427028787777,31.73548380227166,0.17454416382270924,430.30531431853956,45.18205800344665,5.14095949387071,1.0,Hold
Power (Thermal),275.6486537863606,4.666289717915491,0.0939741103189689,0.45,1057.0579467578275,0.1272218186247361,0.18082279026567832,704.8151289911689,74.00558854407272,0.8814792545877259,181.2228849456883,19.02840291929727,-83.43651944027536,0.0,Exit
Steel & Cement,22.75864269047339,5.692393193263671,0.1307197985413236,0.45,1831.618975173362,0.4221927915831338,0.1029923509334729,52.80073952351116,5.5440776499686715,0.5607887282372469,48.73995075147886,5.11769482890528,-2.7682504432857717,0.0,Exit
Infra & Roads,78.66015890758088,9.069171926221092,0.1236297685844083,0.45,285.5700877892067,0.5287997186189678,0.020866103336155038,157.02131155172717,16.487237712931353,0.03265868521644537,167.0899413692882,17.54444384377526,8.568715426579791,1.0,Hold
Steel & Cement,384.95160132686107,2.766648720799603,0.1388456704633311,0.45,1856.4068438418683,0.4694294092007366,0.05589845799246711,611.4698439965692,64.20433361963977,0.2871397847635778,966.4814301559364,101.48055016637332,3.708149204935687,1.0,Hold
Steel & Cement,32.94543447596105,1.203080605348125,0.0893415558653559,0.45,2135.5579509491004,0.215110338376268,0.09085174869466793,56.40397018942742,5.9224168698898785,0.7304430537094099,43.40038939637109,4.557040886618964,-7.885747319239421,0.0,Exit
Infra & Roads,211.0868201181687,8.75498396229191,0.0935398749831233,0.45,216.2018221353267,0.514427993932529,0.03934013800429476,453.54971606184273,47.62272018649349,0.056686090808263256,487.2643656762365,51.162758396004826,14.360475770297818,1.0,Hold
Power (Thermal),29.13970958302388,6.194053741491159,0.0927078889928901,0.45,951.0636268348682,0.0890379977909614,0.022462879812408715,48.174397867234184,5.058311776059589,0.1042009836131924,69.5216801862852,7.2997764195599455,1.3351070809687982,1.0,Hold
Steel & Cement,259.7490516391287,9.015926099156582,0.1275523860572802,0.45,1746.8814733475176,0.281548083692806,0.021312271211591658,518.290188292962,54.420469770761,0.13365375896567436,744.4676608229281,78.16910438640745,17.509214599984176,1.0,Hold
Steel & Cement,142.19938909217785,6.372507010718553,0.0912144377870071,0.45,1475.798343084732,0.3378159228204928,0.13454071905553192,366.1019221823307,38.44070182914472,0.6867564660086656,234.4662120503628,24.618952265288094,-30.97472013499199,0.0,Exit
Infra & Roads,21.36687489984049,8.291449809637323,0.0839995897893983,0.45,269.961397503558,0.5816676124108869,0.18924757332661357,63.11902816207201,6.627497957017561,0.2790116910645927,64.0262234001103,6.722753457011581,-0.8879148276885511,0.0,Exit
IT Services,600.4547142967135,4.867060270196332,0.1399136483951377,0.45,21.312640061616623,0.8312314069907414,0.055279931971207535,1100.3759055485127,115.53947008259384,0.056115045790800115,1105.1322544359793,116.03888671577782,68.84926506868538,1.0,Hold
Power (Thermal),61.46636458258874,7.748739381594419,0.0814890326867089,0.45,937.346742025294,0.2194617236319097,0.18311840865121723,177.35281125187961,18.62204518144736,0.745816931671032,86.30374048843626,9.061892751285807,-15.62036035267796,0.0,Exit
Infra & Roads,56.13149569519279,9.217373202008703,0.1301146436095319,0.45,108.9800975964082,0.7771484573246018,0.04080553682986061,124.51717319595036,13.074303185574788,0.044967816170704444,126.66312222820879,13.299627833961923,6.167679706736331,1.0,Hold
Infra & Roads,188.79901502649932,6.1491066734998565,0.1019220104930391,0.45,208.9264584860239,0.3744946057198508,0.057012435638729986,377.8683200153041,39.676173601606926,0.08830516090904741,428.2715278872383,44.968510428160016,11.740407859983202,1.0,Hold
Power (Thermal),588.9638575143726,2.627066355061416,0.1304969275854689,0.45,1247.9054963801389,0.3349805481592292,0.13582195332024127,1273.6861424229057,133.7370449544051,0.6092296435929259,1082.0774409754442,113.61813130242165,-84.60843458665668,0.0,Exit
Infra & Roads,43.860485718688416,3.4191785352717834,0.1132772294726687,0.45,227.8568809201741,0.6386372294934151,0.016714313466364688,53.00700518187311,5.565735544096676,0.022494520426228248,57.14444468389287,6.000166691808751,4.524415039182077,1.0,Hold
Power (Thermal),159.81482796827248,2.787801192076652,0.1340978737691816,0.45,863.61340336043,0.3122801221235532,0.018576592913748108,185.62603502496137,19.49073367762094,0.06491555540350774,267.89901872372457,28.129396965991077,16.762317883658476,1.0,Hold
Power (Thermal),248.28562580332152,3.2217132483615964,0.1355715791848776,0.45,960.9082970349832,0.162829117140083,0.04021891874181879,368.86344177950235,38.73066138684774,0.1761052393594072,593.6348089691264,62.33165494175827,13.984494576344527,1.0,Hold
Pharma,340.9468938741082,3.7577390441593272,0.0805458908768465,0.45,113.9158712536522,0.6589280777967537,0.0876663105678183,676.6780610853008,71.05119641395657,0.10197211306444459,712.5657641933813,74.81940524030503,11.816687463787895,1.0,Hold
Pharma,183.4110605474983,5.996204080778696,0.0845247305595673,0.45,171.7469763224404,0.2677520659002145,0.01436336155567134,273.3858141588244,28.705510486676562,0.021950056784809827,297.3603655475304,31.222838382490693,13.691123037130877,1.0,Hold
IT Services,95.54206226636042,6.291924665174495,0.0950215237742513,0.45,22.21698975318028,0.9206903163290376,0.03712214703646625,174.59975957692652,18.332974755577283,0.03739686927043748,174.86099667042586,18.360404650394713,7.47071403550258,1.0,Hold
Steel & Cement,54.97572560775818,4.83849772517675,0.1201589249818101,0.45,1575.9164162127222,0.1686160432757281,0.04926967368752459,97.382271280006,10.22513848440063,0.32039107190094873,146.9393864329301,15.428635575457658,-1.3203551560777447,0.0,Exit
Power (Thermal),164.57603127983492,6.538787018387519,0.1332963317906903,0.45,953.067517607071,0.3151972340911852,0.03285645420865985,298.65050525557433,31.358303051835303,0.12292209805266974,417.3062835954493,43.81715977752218,12.833867295927302,1.0,Hold
Infra & Roads,40.99430627081633,1.7341743305022934,0.1075965170776377,0.45,158.70836133809763,0.6706419332629927,0.03422504088831353,50.79478577689021,5.3334525065734715,0.04173887112125484,54.17102749924617,5.687957887420848,3.6408693449895164,1.0,Hold
Steel & Cement,4.456570035418597,1.7900941335234395,0.1164183869764559,0.45,2041.898898728956,0.3056429297182979,0.0315594646720307,5.415009651095151,0.5685760133649908,0.21948942203769134,10.488565469725335,1.10129937432116,0.07865020336600537,1.0,Hold
Power (Thermal),250.6034388889198,2.546465143218926,0.0913099911677336,0.45,897.3444866863298,0.1238123270999579,0.08231431998985318,451.1452482566295,47.370251066946096,0.3541340788079623,616.9918369834991,64.7841428832674,-17.05365029811486,0.0,Exit
Infra & Roads,439.0976428015003,5.662697482363103,0.1282980100329011,0.45,277.81503977579666,0.43751479774599,0.019364092460687037,676.6951265471673,71.05298828745256,0.032073148440290744,745.8423400977046,78.31344571025897,49.99789403676067,1.0,Hold
Power (Thermal),8.710080885663253,2.925952108284822,0.1380396866812082,0.45,919.9174043967702,0.0664457784723811,0.029348585422162544,11.579565227173353,1.215854348853202,0.13520686867776704,19.09979447936898,2.005478420333743,0.6723885933086657,1.0,Hold
Pharma,44.18225130917144,3.549559631433196,0.0961159359748758,0.45,210.51231100011464,0.6190321384599479,0.04079633357283331,67.65996433447702,7.1042962551200874,0.05453790069711866,73.71831428394498,7.740422999814222,3.1622951825445647,1.0,Hold
Steel & Cement,311.99436077475104,4.602815525556947,0.1096895570960327,0.45,1673.3454590579454,0.5791799438788279,0.15051233114965704,763.7378551601271,80.19247479181334,0.595659291364261,613.2960659058422,64.39608692011342,-49.40652968208792,0.0,Exit
Infra & Roads,1752.8434268113672,8.306795116093419,0.0851669666303824,0.45,200.80604487303276,0.3013229373963936,0.024474148305154594,3408.543863404362,357.897105657458,0.038895638723381885,3663.4522350867305,384.6624846841067,118.60427353896952,1.0,Hold
Steel & Cement,152.163020468883,1.124759223215741,0.1135481993877781,0.45,1655.957595798642,0.2920298602652074,0.021384489937097403,151.5298039398491,15.910629413684156,0.12668060271721687,295.9257528898951,31.07220405343898,8.60359057272565,1.0,Hold
Infra & Roads,61.95426617565851,6.8444093821296015,0.1101670065108008,0.45,199.662379742243,0.5947721958836099,0.036534144375275225,117.03562672328131,12.288740805944537,0.04894905822915866,124.44349240803582,13.066566702843762,5.46064470298596,1.0,Hold
Infra & Roads,119.16680933406728,7.019888779366168,0.0886661890493046,0.45,181.63980328941255,0.5951518529628714,0.05805836379440078,251.99170247517895,26.45912875989379,0.07598989025978674,270.7769956526776,28.431584543531148,6.491104101059729,1.0,Hold
Power (Thermal),772.6697324180058,8.187902023209729,0.1065239727870845,0.45,878.9667509785108,0.5491670538743006,0.04190254763109961,1625.5941352730417,170.68738420366938,0.111641884267149,2055.8490815267555,215.86415356030932,43.48981236999652,1.0,Hold
Pharma,68.36376857213823,9.39477645154282,0.1000462791251938,0.45,258.1688027581775,0.36398897004839,0.010773451932727905,124.87224580362086,13.11158580938019,0.018203174154306553,136.65605835793676,14.34888612758336,6.279543759294789,1.0,Hold
IT Services,56.88146789406608,1.1812406405436084,0.1113098525183113,0.45,17.52253927741052,0.4465888999801323,0.03456506908186039,66.84354961482984,7.018572709557133,0.035972838827266755,67.75558186295872,7.114336095610666,5.41068325774834,1.0,Hold
Pharma,83.15511951539608,2.384053349618945,0.1151392601257279,0.45,168.45767985264055,0.2802870965448205,0.02291294296301162,97.96239700204565,10.286051685214792,0.03458050902065851,109.99667190347395,11.549650549864765,8.28042307443694,1.0,Hold
Pharma,47.27613723956942,8.975541646503938,0.0805097347164325,0.45,146.0045079569596,0.5974866576653869,0.09762177441342076,125.91968491985082,13.221566916584337,0.1217176400872178,132.62675236844868,13.92580899868711,1.2167363318174682,1.0,Hold
Infra & Roads,171.9501104461822,5.126667059683138,0.1256603589769733,0.45,242.6582653206596,0.3483897478567745,0.012801036181538257,230.6163458921508,24.214716318675833,0.021302180966892837,258.2735722748828,27.118725088862693,19.95900203829666,1.0,Hold
Pharma,1042.7473066703412,6.0813157504011714,0.1227808575117044,0.45,187.48819171714624,0.5136514827587532,0.11458391812318859,2541.336017848704,266.84028187411394,0.15846673277843362,2751.707341248146,288.9292708310553,53.67106702030253,1.0,Hold
Power (Thermal),218.69873155603784,6.967244833508326,0.1019771831723913,0.45,1046.4769894302449,0.2270826762955015,0.11240150249522034,552.3288358781982,57.99452776721081,0.49424388544324377,532.7766604081564,55.941549342856426,-26.338449264134592,0.0,Exit
Power (Thermal),109.6370974305821,7.111599440460736,0.0831761561341291,0.45,886.1696758569117,0.2596341047249672,0.017425684763503,185.74188588536188,19.502898017963,0.06544350409268362,240.35250760693256,25.237013298727916,5.890426208495107,1.0,Hold
Power (Thermal),104.5668392826208,9.385663629848574,0.125295952387103,0.45,1020.2533313933856,0.2512983698073869,0.02524455993720448,218.41527091803013,22.933603446393164,0.10623502544415694,289.2251506575481,30.36864081904255,8.102904341713177,1.0,Hold
Steel & Cement,22.74103563141627,9.972544756705028,0.1373105096286879,0.45,2119.5811720392817,0.3113189191305686,0.05998348390779541,56.455862382690704,5.927865550182523,0.42773052101149517,64.276385050176,6.74902043026848,-1.2545825665010768,0.0,Exit
Steel & Cement,428.260533097746,7.481417148378462,0.0944090957613208,0.45,2023.3362550135043,0.4261959614193878,0.15094605088324925,1184.0674974105546,124.32708722810823,0.8869882424537675,280.53492074144555,29.45616667785178,-130.50623622408807,0.0,Exit
Steel & Cement,135.17839676286948,3.5849908828463573,0.0994114768242222,0.45,1824.694462901708,0.3419397771277147,0.030192143362661274,192.09427176690338,20.169898535524855,0.18245677276124078,330.9446942835941,34.749192899777384,2.3393877477512355,1.0,Hold
IT Services,119.51287470570075,8.917771620649091,0.0910287733689089,0.45,14.669839141861598,0.8048852566290015,0.012904081289438596,218.7024981617533,22.963762306984098,0.013059209870257792,219.1873476328451,23.014671501448735,10.176775715411232,1.0,Hold
Steel & Cement,6848.117537288442,1.4429882308668545,0.1146161674006903,0.45,1661.291822107563,0.5983497644558279,0.1029123419498233,12528.722640352937,1315.5158772370582,0.39132260127600965,16012.300073100201,1681.291507675521,-421.0154398075533,0.0,Exit
Steel & Cement,212.406839532647,3.079727675870466,0.0892904836788473,0.45,2112.0511059061864,0.1028299614566678,0.07558627704363155,383.61252465994136,40.27931508929384,0.6771358596043167,337.90808101678505,35.480348506762425,-45.75682010418344,0.0,Exit
Infra & Roads,60.210739889677335,9.076471457173431,0.1013716366076827,0.45,188.26173242805916,0.5491594857514083,0.023046563456457628,121.90979782473963,12.80052877159766,0.03126218553417665,127.14402084551804,13.350122188779395,5.256617549264561,1.0,Hold
Power (Thermal),88.97637495527587,3.3057236299541946,0.1218207808360558,0.45,809.7630716576175,0.4593317384590284,0.1384388613799428,200.29723310134014,21.031209475640715,0.39300237265382004,219.33917863182728,23.030613756341864,-4.896395437388323,0.0,Exit
IT Services,588.8284300826516,2.9858595365957363,0.1136069589805609,0.45,17.1088991668954,0.7531628150492111,0.04660804833713341,896.6172732116033,94.14481368721835,0.0474347386711315,901.5250617592485,94.66013148472109,54.32609208659144,1.0,Hold
Power (Thermal),170.02143080186735,2.243127638262225,0.1031877538596761,0.45,1026.9031655442277,0.2080736317717605,0.051286299955055195,251.74442051516147,26.43316415409195,0.22645840732775321,409.81564237251257,43.03064244911382,0.2178774585135308,1.0,Hold
Pharma,26.41855029313329,8.732005818822248,0.1052149761084525,0.45,199.8247136620663,0.7866664186362673,0.01919967625707662,50.98072787828817,5.352976427220257,0.022637246803922914,52.209224125253364,5.481968533151603,2.510507678477591,1.0,Hold
IT Services,447.230768261602,5.50052433271978,0.1137266529573937,0.45,23.573728249444727,0.7336396654095588,0.10117646376987362,1022.2297615839011,107.33412496630962,0.10384471434210131,1030.2271124314711,108.17384680530446,29.96291025514972,1.0,Hold
Power (Thermal),66.56820740990719,7.074038827487393,0.0803518836732296,0.45,1091.8918071912683,0.323485885055623,0.0618391973983916,143.48832272083004,15.066273885687155,0.2536926434265809,192.59520808841728,20.222496849283814,-2.2506581695584362,0.0,Exit
Power (Thermal),1405.2314923875842,3.151597456675267,0.0847105921072166,0.45,1037.2817083178334,0.1974701574089351,0.044761426918505175,2141.4826000937996,224.85567300984894,0.20126026714695025,3444.9405303001995,361.7187556815209,-8.229777734694864,1.0,Hold
IT Services,542.4292590554496,7.822363789100948,0.1328754840657807,0.45,6.370155749502622,0.9785434031985252,0.01255984038508821,911.4444661935481,95.70166895032256,0.012567050535121345,911.5508914551223,95.71284360278783,69.00801920881041,1.0,Hold
IT Services,86.76590328622686,7.840049904658886,0.0846727393454774,0.45,25.68690548814457,0.6497014220844507,0.0590946086296086,192.7495045168916,20.238697974273617,0.06132790990111939,194.5009859367998,20.42260352336398,4.952179538377456,1.0,Hold
IT Services,690.3644413893813,3.813382224174701,0.1224082157726303,0.45,28.170705044427457,0.8070664353315669,0.09101384841088893,1392.4554968970194,146.20782717418703,0.09309145002340444,1403.257688228562,147.342057263999,55.58611740125197,1.0,Hold
IT Services,161.0035819112401,4.696143697092546,0.1352022898465431,0.45,28.026779811809032,0.8940564655565403,0.06654386995516932,308.5937786859232,32.402346762021935,0.0673737302841002,309.7944241432516,32.52841453504142,16.88671759178726,1.0,Hold
Power (Thermal),412.9507804307872,2.887212496871808,0.0962410162581038,0.45,1036.3871659552003,0.1148517763213041,0.03121963682422925,556.0724456114485,58.387606789202096,0.15150565964927717,935.0171845722381,98.17680438008499,11.58883159690344,1.0,Hold
Steel & Cement,265.5171359419218,9.78904920990614,0.1022294862235708,0.45,1717.221011545029,0.1407398405546934,0.04001522796423336,605.4861437111172,63.5760450896673,0.28800025254485667,828.347319541885,86.97646855189792,-7.267370601920568,0.0,Exit
Power (Thermal),53.75152367301659,6.810423193525705,0.1141352843506829,0.45,759.0943649648865,0.2883416091290576,0.03628887941785031,101.18676007191864,10.624609807551456,0.11862496004908447,136.70159838032313,14.35366782993393,3.265622881972157,1.0,Hold
Pharma,68.56212038307629,9.41089492643964,0.1329025381783151,0.45,219.9496078750848,0.3747088837246976,0.039112319418894134,152.63504847254382,16.0266800896171,0.06170502860117776,166.68876223086625,17.502320034240956,7.20829740216023,1.0,Hold
Infra & Roads,510.7871570859018,3.730469892662199,0.1365143352356252,0.45,201.4997119346588,0.3186668580880927,0.03339004007845287,753.3629525962479,79.10311002260602,0.052643118290670955,853.8833232224423,89.65774893835643,57.62952626715386,1.0,Hold
Steel & Cement,99.31231698463232,8.037018216972008,0.1243737948866761,0.45,1919.5075411789455,0.1428808490627189,0.043193473321477,208.3326456283134,21.874927790972905,0.3416619302524998,287.9803805781351,30.237939960704185,-2.917207321100701,0.0,Exit
Power (Thermal),91.43440629463184,7.892727794962678,0.0851971856512816,0.45,757.1318565137158,0.5309751090916568,0.24954604728899618,271.45809327537336,28.503099793914203,0.6217383577670387,181.78962137258242,19.087910244121154,-17.791770837864405,0.0,Exit
Steel & Cement,47.17447228104837,7.224900866798874,0.120149249332091,0.45,2035.9884260076929,0.4329951662599344,0.058812503343833054,101.23066836177304,10.629220177986168,0.3439675236568845,133.64458050077982,14.032680952581881,-1.633941452444149,0.0,Exit
Steel & Cement,246.73598509636935,9.690750777401204,0.1046182233123597,0.45,1613.1691585900917,0.5744329795608005,0.05536276687160069,594.0846274841186,62.37888588583245,0.21499292807270773,771.9487109421897,81.05461464892991,1.9421590344594328,1.0,Hold
IT Services,1763.4544201375736,4.54199802495684,0.1082420599694637,0.45,26.217345641729818,0.9099629797336872,0.10914751159213211,3928.6011354655807,412.50311922388596,0.11022962545993932,3940.6867150072367,413.77210507575984,103.40672498659941,1.0,Hold
Infra & Roads,41.22152217687497,2.176455912307816,0.0829489034207106,0.45,136.77074427010473,0.500385603625189,0.03853928788351202,55.272051431105076,5.803565400266033,0.04959995012075936,60.010031312854714,6.3010532878497445,2.4992166121606334,1.0,Hold
Pharma,152.7898347489475,7.045379733196547,0.0914637283607815,0.45,243.26448780676247,0.7856705095736143,0.03582034585388892,291.30663175433307,30.58719633420497,0.04366438425314632,302.91064292612003,31.8056175072426,10.97256461726268,1.0,Hold
Infra & Roads,808.0829114993726,7.563788204294855,0.1274308164520188,0.45,196.7449730622348,0.8158934850329305,0.1462522983914976,2227.3760749807116,233.8744878729747,0.16850203079470233,2286.691768881449,240.10263573255216,41.701039936126506,1.0,Hold
Power (Thermal),134.8860476491913,6.175545161129332,0.1072375299828715,0.45,809.2912805215983,0.0698126732560989,0.05647299834291239,269.7114343883468,28.31970061077641,0.23502528497297667,377.73916177680013,39.66261198656401,0.1991122746178231,1.0,Hold
IT Services,255.4038851491273,2.8613610382005663,0.0980997344978689,0.45,20.876225970162803,0.6475087013207915,0.02625516998525532,327.75001525690544,34.41375160197507,0.027066625123763625,330.3744005016678,34.68931205267512,21.9442387763357,1.0,Hold
IT Services,41.47653170613952,5.540103475024198,0.1030411444378975,0.45,26.57037490762302,0.7854655064687968,0.11822295668827994,99.39941247480995,10.436938309855044,0.12105334432607356,100.0578464203819,10.5060738741401,2.01439650098178,1.0,Hold
Infra & Roads,248.1338992142516,3.809707629122165,0.1312639707995408,0.45,262.36926459873314,0.32759398756736,0.0713755900224864,460.33721371749124,48.33540744033658,0.12426193430175654,554.3899257241287,58.21094220103351,18.69592167384572,1.0,Hold
IT Services,118.56091533970188,4.8471987535002015,0.1249399410442974,0.45,17.610800746481043,0.7486087964158075,0.059170760435911976,221.33879615079178,23.240573595833137,0.060270995854787845,222.55462705298288,23.3682358405632,11.597390776059727,1.0,Hold
Infra & Roads,484.3830381284913,6.806967182601976,0.0963389238308649,0.45,204.56505855298343,0.3860343382050692,0.004356400364313113,552.5406162141375,58.01676470248443,0.006654414061663279,636.0222474547033,66.78233598274385,45.214462230154616,1.0,Hold
Infra & Roads,616.9964448391597,7.706932684217511,0.0870501104127424,0.45,229.6164773506672,0.5978362441217047,0.024725137859570596,1155.0826193075927,121.28367502729724,0.03431459429054941,1217.2178081804088,127.80786985894292,44.18221644000318,1.0,Hold
Steel & Cement,3319.191042831175,3.090022218112088,0.0951198932986443,0.45,1661.1646528229296,0.2149923184525789,0.03749131972019881,4782.464478084202,502.1587701988412,0.2428280330919901,8344.295310668633,876.1510076202064,-46.975586742343296,1.0,Hold
Power (Thermal),297.5433140568212,4.64792824582258,0.135245387063284,0.45,953.4271814200222,0.0750533399181324,0.10605957607409279,660.5478641084469,69.35752573138693,0.49888844358660245,683.3488190440482,71.75162599962506,-26.557053704526176,0.0,Exit
Power (Thermal),219.4129520156973,3.4224541389246625,0.1148953302709853,0.45,1103.1642466149035,0.5595824982612658,0.04769632183093317,348.00570769897007,36.540599308391855,0.14502457449202036,503.49437785680277,52.86690967496429,10.890402085723828,1.0,Hold
Power (Thermal),187.4029594607493,2.787684524756822,0.1120088125246869,0.45,862.3302914380707,0.6395013952168347,0.07671925264333213,333.85206289386923,35.05446660385627,0.17688768663392776,439.9442852103497,46.194149947086714,6.073608767496907,1.0,Hold
Infra & Roads,97.1445862537297,8.050484979962546,0.1157836159815477,0.45,181.86985831601524,0.4423725669587717,0.03927286527034187,200.35286612803708,21.03705094344389,0.05600096995826205,215.49536990391292,22.627013839910855,8.799665494106867,1.0,Hold
Steel & Cement,222.77908097580132,9.183274249932932,0.1019616959447909,0.45,1909.613384941434,0.220092722182614,0.07901264716495765,568.2498795565203,59.66623735343463,0.5732485898762039,500.6319287833728,52.56635252225414,-34.75357439316803,0.0,Exit
Infra & Roads,104.11731662341052,4.332089671161191,0.1284264212191707,0.45,160.92477683630284,0.6098495301066814,0.05594988283831446,184.83470349840573,19.407643867332602,0.07070367025995468,198.94835842366163,20.88957763448447,10.05874997058607,1.0,Hold
Pharma,181.6629726085516,7.761510319363902,0.1113971749580149,0.45,191.579014398556,0.6406742137346476,0.0669863842374923,414.6717842450433,43.54053734572954,0.08635382096705481,443.5528063182397,46.57304466341517,13.17746062722606,1.0,Hold
Power (Thermal),721.3446521745739,9.0729576042797,0.0870048741661277,0.45,1056.1086628158864,0.266242749573388,0.12116103411151798,2029.5542548531166,213.10319675957723,0.5155032499103709,1783.185218727484,187.2344479663858,-104.57447993279857,0.0,Exit
Steel & Cement,44.351606071587234,8.615117894772084,0.0877439074897437,0.45,1945.954587406839,0.1153326436334226,0.02418823090848006,87.81812858856766,9.220903501799604,0.19907868267966322,133.20318442695023,13.986334364829773,-0.08167346998961778,1.0,Hold
IT Services,582.8059440272131,2.6453204968530333,0.1122115487901571,0.45,28.698487035600333,0.8154960439031813,0.029122202800346282,752.9208517795405,79.05668943685176,0.02976984955936548,757.4434851361789,79.53156593929877,57.590037249205835,1.0,Hold
Power (Thermal),720.9271419614536,9.606626933620252,0.1361942130842503,0.45,1049.1191112926667,0.1691232550107101,0.09001697975070416,1934.833956506437,203.15756543317588,0.41957746231559356,2038.435732276716,214.03575188905518,-37.932046541861396,0.0,Exit
Power (Thermal),128.80733587643178,4.390087963865162,0.0985011273005719,0.45,1107.4948699307638,0.2999515162372126,0.019112742228801254,177.09555621057967,18.595033402110865,0.08134880862493975,258.6546533009683,27.15873859660167,7.972422296346844,1.0,Hold
Steel & Cement,11.632165180208428,4.053165950564527,0.1321724701315531,0.45,1631.2292245150202,0.6422791149173924,0.11869818276926938,25.942076243068264,2.7239180055221675,0.40960416392351917,28.91432653813539,3.036004286504216,-0.6066104771204051,0.0,Exit
Power (Thermal),71.56553587002738,1.561881945500023,0.1258457351947327,0.45,928.632323113014,0.0706854193437587,0.07106234568918736,113.62191850129308,11.930301442635773,0.32863240424063866,172.02408916327852,18.062529362144243,-1.5772218750129348,0.0,Exit
Pharma,703.7290823410499,5.375562886943947,0.0948687465744144,0.45,179.65128168133143,0.6624279900489481,0.008503161402978987,865.4195822122817,90.86905613228959,0.010669001863647406,922.5277743253855,96.86541630416548,63.38325686870848,1.0,Hold
IT Services,144.39582672451638,1.9811225407683584,0.0821804448989745,0.45,11.88115823975211,0.7348968255559364,0.032336486497312945,180.16560515349448,18.91738854111692,0.032764261919678794,180.88075812364798,18.992479602983035,9.737553072666215,1.0,Hold
